27.4424 	EXP 	image_trial: image = 'imgs/3.jpg'
27.4424 	EXP 	image_trial: autoDraw = True
27.8600 	EXP 	New trial (rep=27, index=0): None
27.9165 	DATA 	Keypress: right
27.9413 	EXP 	image_trial: autoDraw = False
27.9413 	EXP 	image_trial: image = 'imgs/1.jpg'
27.9413 	EXP 	image_trial: autoDraw = True
28.2826 	EXP 	New trial (rep=28, index=0): None
28.6987 	DATA 	Keypress: right
28.7024 	DATA 	Keypress: right
28.7263 	EXP 	image_trial: autoDraw = False
28.7263 	EXP 	image_trial: image = 'imgs/2.jpg'
28.7263 	EXP 	image_trial: autoDraw = True
29.2435 	EXP 	New trial (rep=29, index=0): None
29.2953 	DATA 	Keypress: right
29.3098 	EXP 	image_trial: autoDraw = False
29.3098 	EXP 	image_trial: image = 'imgs/3.jpg'
29.3098 	EXP 	image_trial: autoDraw = True
29.7930 	EXP 	New trial (rep=30, index=0): None
29.8481 	DATA 	Keypress: right
29.8647 	EXP 	image_trial: autoDraw = False
29.8647 	EXP 	image_trial: image = 'imgs/1.jpg'
29.8647 	EXP 	image_trial: autoDraw = True
30.8289 	EXP 	New trial (rep=31, index=0): None
31.2306 	DATA 	Keypress: right
31.2540 	EXP 	image_trial: autoDraw = False
31.2540 	EXP 	image_trial: image = 'imgs/2.jpg'
31.2540 	EXP 	image_trial: autoDraw = True
31.5337 	EXP 	New trial (rep=32, index=0): None
31.5890 	DATA 	Keypress: right
31.6113 	EXP 	image_trial: autoDraw = False
31.6113 	EXP 	image_trial: image = 'imgs/3.jpg'
31.6113 	EXP 	image_trial: autoDraw = True
32.3109 	EXP 	New trial (rep=33, index=0): None
32.3657 	DATA 	Keypress: right
32.3820 	EXP 	image_trial: autoDraw = False
32.3820 	EXP 	image_trial: image = 'imgs/1.jpg'
32.3820 	EXP 	image_trial: autoDraw = True
32.9270 	EXP 	New trial (rep=34, index=0): None
33.3270 	DATA 	Keypress: right
33.3312 	DATA 	Keypress: right
33.3543 	EXP 	image_trial: autoDraw = False
33.3543 	EXP 	image_trial: image = 'imgs/2.jpg'
33.3543 	EXP 	image_trial: autoDraw = True
